task,phrase,kind,proxy,n_ctx,gt_success,source
sweep into pile,sweep the beans to the center,search,,80,,search_boards
sweep into pile,sweep the coffee beans together,search,,80,,search_boards
take banana out of colander,take banana out of colander,original,,80,,search_boards
take banana out of colander,get the yellow banana out of the colander,search,,80,,search_boards
take banana out of colander,get the banana and remove it from the colander,search,,80,,search_boards
take banana out of colander,grab the banana and take it out of the colander,search,,80,,search_boards
take banana out of colander,grab the banana and remove it from the colander,search,,80,,search_boards
take banana out of colander,get the banana out of the colander,search,,80,,search_boards
take banana out of colander,pick up the banana out of the colander,search,,80,,search_boards
take banana out of colander,remove the banana from the colander,search,,80,,search_boards
take beet from pot sink,take beet from pot sink,original,,80,,search_boards
take beet from pot sink,take the beet from pot sink,search,,80,,search_boards
take beet from pot sink,take beet from orange pot sink,search,,80,,search_boards
take beet from pot sink,lift beet from pot sink,search,,80,,search_boards
take beet from pot sink,pick up the beet from the pot inside the sink,search,,80,,search_boards
take beet from pot sink,take the beet from the orange cup in the sink,search,,80,,search_boards
take beet from pot sink,take the beet out of the pot in the sink,search,,80,,search_boards
take broccoli out of pan,lift the green broccoli from the pot,search,,80,,search_boards
take broccoli out of pan,take broccoli out of pan,original,,80,,search_boards
take broccoli out of pan,grab the green broccoli from the pot,search,,80,,search_boards
take broccoli out of pan,grab the broccoli from the pot,search,,80,,search_boards
take broccoli out of pan,pick up the green broccoli from the pot,search,,80,,search_boards
take broccoli out of pan,remove broccoli from metal pot,search,,80,,search_boards
take broccoli out of pan,remove the green broccoli from the pot,search,,80,,search_boards
take broccoli out of pan,pick up the broccoli from the pot,search,,80,,search_boards
take clothes out of laundry machine,take clothes out of laundry machine,original,,80,,search_boards
take clothes out of laundry machine,remove the cloth from the washing machine,search,,80,,search_boards
take clothes out of laundry machine,remove white cloth from washing machine,search,,80,,search_boards
take clothes out of laundry machine,remove cloth from washing machine,search,,80,,search_boards
take clothes out of laundry machine,pull cloth out of washing machine,search,,80,,search_boards
take clothes out of laundry machine,take cloth out of dryer,search,,80,,search_boards
take clothes out of laundry machine,take the cloth out of the dryer,search,,80,,search_boards
take corn out of bowl sink,take corn out of bowl,search,,80,,search_boards
take corn out of bowl sink,take corn out of bowl sink,original,,80,,search_boards
take corn out of bowl sink,take the corn out of the blue cup,search,,80,,search_boards
take corn out of bowl sink,take corn from blue bowl,search,,80,,search_boards
take corn out of bowl sink,get the corn from the blue bowl,search,,80,,search_boards
take corn out of bowl sink,take corn out of the blue bowl,search,,80,,search_boards
take cucumber out of cup,take cucumber out of cup,original,,80,,search_boards
take cucumber out of cup,pull the cucumber out of the cup,search,,80,,search_boards
take cucumber out of cup,pick up the cucumber from inside the cup,search,,80,,search_boards
take cucumber out of cup,pull the green cucumber out of the cup,search,,80,,search_boards
take cucumber out of cup,pull the green cucumber out of the red cup,search,,80,,search_boards
take cucumber out of cup,take the cucumber out of the red cup,search,,80,,search_boards
take cucumber out of cup,lift the green cucumber out of the cup,search,,80,,search_boards
take cup off plate,take cup off plate,original,,80,,search_boards
take cup off plate,grab the orange cup off the plate,search,,80,,search_boards
take cup off plate,take orange cup off plate,search,,80,,search_boards
take cup off plate,take orange cup off yellow plate,search,,80,,search_boards
take cup off plate,remove orange cup from plate,search,,80,,search_boards
take cup off plate,take the orange cup off the yellow plate,search,,80,,search_boards
take cup off plate,remove the orange cup from the yellow plate,search,,80,,search_boards
take cup off plate,grab the orange cup from the plate,search,,80,,search_boards
take cup off plate,pick up the orange cup off the plate,search,,80,,search_boards
take cup off plate,take the orange cup away from the yellow plate,search,,80,,search_boards
take cup off plate,remove orange cup from yellow plate,search,,80,,search_boards
take lid off pot or pan,take lid off pot or pan,original,,80,,search_boards
take lid off pot or pan,take the metal lid off the pot,search,,80,,search_boards
take lid off pot or pan,take off the metal lid from the pot,search,,80,,search_boards
take lid off pot or pan,remove the lid of the silver pot,search,,80,,search_boards
take lid off pot or pan,remove the metal lid from the pot,search,,80,,search_boards
take lid off pot or pan,take off the lid of the silver pot,search,,80,,search_boards
take lid off pot or pan,take the lid off the silver pot,search,,80,,search_boards
take spatula off plate sink,take spatula off plate sink,original,,80,,search_boards
take spatula off plate sink,pick up the green spatula off the plate,search,,80,,search_boards
take spatula off plate sink,grab the green spatula off the plate,search,,80,,search_boards
take spatula off plate sink,take the green spatula off the plate,search,,80,,search_boards
take spatula off plate sink,take the green spatula from the plate,search,,80,,search_boards
take spatula off plate sink,grab the spatula from the plate,search,,80,,search_boards
take spatula off plate sink,lift the green spatula off the plate,search,,80,,search_boards
take spatula off plate sink,remove the spatula from the yellow plate,search,,80,,search_boards
take sushi off plate,take sushi off plate,original,,80,,search_boards
take sushi off plate,pick the sushi up off the green plate,search,,80,,search_boards
take sushi off plate,pick up the sushi from the green plate,search,,80,,search_boards
take sushi off plate,pick the sushi up from the green plate,search,,80,,search_boards
take sushi off plate,grab the sushi up from the green plate,search,,80,,search_boards
take sushi off plate,grab the sushi from the green plate,search,,80,,search_boards
take sushi off plate,grab the sushi off the plate,search,,80,,search_boards
take sushi off plate,pick up the sushi on the plate,search,,80,,search_boards
take sushi out of pan,remove the red piece from the pot,search,,80,,search_boards
take sushi out of pan,take sushi out of pan,original,,80,,search_boards
take sushi out of pan,remove the red sushi from the pot,search,,80,,search_boards
take sushi out of pan,take the red sushi out of the pot,search,,80,,search_boards
take sushi out of pan,pick up the red piece from the pot,search,,80,,search_boards
take sushi out of pan,grasp the red sushi from the pot and set it down,search,,80,,search_boards
take sushi out of pan,take the red sushi out of the silver pot,search,,80,,search_boards
take sushi out of pot cardboard fence,take sushi out of pot cardboard fence,original,,80,,search_boards
take sushi out of pot cardboard fence,grasp the red pepper and put it on the counter,search,,80,,search_boards
take sushi out of pot cardboard fence,grasp the red pepper and place it on the counter,search,,80,,search_boards
take sushi out of pot cardboard fence,grasp the red pepper and set it down on the counter,search,,80,,search_boards
take sushi out of pot cardboard fence,grasp the red pepper and move it onto the counter,search,,80,,search_boards
take sushi out of pot cardboard fence,pick up the red pepper and set it down on the right,search,,80,,search_boards
take sushi out of pot cardboard fence,place the red pepper outside the wooden cutting tray,search,,80,,search_boards
take sushi out of pot cardboard fence,grab the red pepper and move it outside the cardboard wall,search,,80,,search_boards
take the eggplant and put it between the two right burners,take the eggplant and put it between the two right burners,original,,80,,search_boards
take the eggplant and put it between the two right burners,grasp the eggplant and place it on the empty space near the back,search,,80,,search_boards
take the eggplant and put it between the two right burners,grab the purple eggplant and move it to the back right of the desk,search,,80,,search_boards
take the eggplant and put it between the two right burners,grasp the purple eggplant and put it on the back right of the table,search,,80,,search_boards
take the eggplant and put it between the two right burners,move the purple eggplant to the back right side of the desk,search,,80,,search_boards
take the eggplant and put it between the two right burners,pick up the purple eggplant and place it near the back right corner of the table,search,,80,,search_boards
take the eggplant and put it between the two right burners,move the purple eggplant to the top right section of the table,search,,80,,search_boards
topple basil bottle cardboard fence,topple basil bottle cardboard fence,original,,80,,search_boards
topple basil bottle cardboard fence,topple the red bottle on the left,search,,80,,search_boards
topple basil bottle cardboard fence,push over the red bottle on the left,search,,80,,search_boards
topple basil bottle cardboard fence,push over the red jar,search,,80,,search_boards
topple basil bottle cardboard fence,knock over the red jar on the left,search,,80,,search_boards
topple basil bottle cardboard fence,tip over the red jar,search,,80,,search_boards
topple basil bottle cardboard fence,push the red bottle over,search,,80,,search_boards
topple hot sauce bottle cardboard fence,topple hot sauce bottle,search,,80,,search_boards
topple hot sauce bottle cardboard fence,topple hot sauce bottle cardboard fence,original,,80,,search_boards
topple hot sauce bottle cardboard fence,topple hot sauce bottle in cardboard fence,search,,80,,search_boards
topple hot sauce bottle cardboard fence,topple the red bottle on the table,search,,80,,search_boards
topple hot sauce bottle cardboard fence,knock over the red bottle in the tray,search,,80,,search_boards
topple hot sauce bottle cardboard fence,tip over the red bottle,search,,80,,search_boards
turn faucet front to left,push faucet lever left,search,,80,,search_boards
turn faucet front to left,push the faucet lever left,search,,80,,search_boards
turn faucet front to left,turn silver faucet lever to the left,search,,80,,search_boards
turn faucet front to left,turn faucet lever to the left,search,,80,,search_boards
turn faucet front to left,turn faucet front to left,original,,80,,search_boards
turn faucet front to left,rotate the faucet lever to the left,search,,80,,search_boards
turn faucet front to left,push the faucet lever to the left,search,,80,,search_boards
turn faucet left,rotate faucet left,search,,80,,search_boards
turn faucet left,rotate faucet handle left,search,,80,,search_boards
turn faucet left,rotate the faucet left,search,,80,,search_boards
turn faucet left,rotate the faucet handle leftward,search,,80,,search_boards
turn faucet left,turn faucet left,original,,80,,search_boards
turn faucet left,rotate faucet to the left,search,,80,,search_boards
turn faucet left,turn faucet handle to the left,search,,80,,search_boards
turn faucet left,push faucet to the left,search,,80,,search_boards
turn faucet right,rotate silver faucet knob clockwise,search,,80,,search_boards
turn faucet right,rotate the metallic faucet knob to the right,search,,80,,search_boards
turn faucet right,rotate faucet clockwise,search,,80,,search_boards
turn faucet right,rotate the faucet clockwise,search,,80,,search_boards
turn faucet right,turn faucet right,original,,80,,search_boards
turn faucet right,rotate faucet handle rightwards,search,,80,,search_boards
turn faucet right,rotate the metal faucet to the right,search,,80,,search_boards
turn faucet right,rotate faucet knob to the right,search,,80,,search_boards
turn lever vertical to front,[dry-run:gemini] 621dc73ae4ca,search,0.2078973924918147,80,,loop_gemini
turn lever vertical to front,[dry-run:gemini] 43de0b941483,search,0.5812716666050484,80,,loop_gemini
turn lever vertical to front,turn lever vertical to front,original,,80,,search_boards
turn lever vertical to front,pull the silver handle forward,search,,80,,search_boards
turn lever vertical to front,turn the silver handle forward,search,,80,,search_boards
turn lever vertical to front,point the silver handle forward,search,,80,,search_boards
turn lever vertical to front,rotate the silver handle forward,search,,80,,search_boards
turn lever vertical to front,point the faucet lever forward,search,,80,,search_boards
turn lever vertical to front,rotate the faucet lever to the vertical position,search,,80,,search_boards
turn lever vertical to front,turn the silver handle on the faucet forward,search,,80,,search_boards
turn lever vertical to front,turn the silver faucet handle to the front,search,,80,,search_boards
turn lever vertical to front,turn the faucet handle forward,search,,80,,search_boards
turn lever vertical to front,turn the faucet lever forward,search,,80,,search_boards
unfold the cloth from bottom left to top right,unfold the cloth from bottom left to top right,original,,80,,search_boards
unfold the cloth from bottom left to top right,unfold the cloth diagonally,search,,80,,search_boards
unfold the cloth from bottom left to top right,unfold the light blue cloth,search,,80,,search_boards
unfold the cloth from bottom left to top right,open up the blue cloth,search,,80,,search_boards
unfold the cloth from bottom right to top left,unfold the cloth from bottom right to top left,original,,80,,search_boards
unfold the cloth from bottom right to top left,unfold the yellow cloth from bottom right to top left,search,,80,,search_boards
unfold the cloth from bottom right to top left,unfold the yellow cloth starting from bottom right to top left,search,,80,,search_boards
unfold the cloth from bottom right to top left,open up the yellow cloth from bottom right to top left,search,,80,,search_boards
unfold the cloth from bottom right to top left,unfold the yellow cloth towards the top left,search,,80,,search_boards
unfold the cloth from bottom to top,[dry-run:gemini] fbd89ec11076,search,0.2408364013490311,80,,loop_gemini
unfold the cloth from bottom to top,[dry-run:gemini] edc3c68ff00f,search,0.2607618085340594,80,,loop_gemini
unfold the cloth from bottom to top,unfold the cloth from bottom to top,original,,80,,search_boards
unfold the cloth from bottom to top,open up the cloth from bottom to top,search,,80,,search_boards
unfold the cloth from bottom to top,open up the orange cloth from bottom to top,search,,80,,search_boards
unfold the cloth from bottom to top,open up the orange towel from bottom to top,search,,80,,search_boards
unfold the cloth from bottom to top,flatten the orange rag from bottom to top,search,,80,,search_boards
unfold the cloth from bottom to top,flatten the orange cloth from bottom to top,search,,80,,search_boards
unfold the cloth from bottom to top,unfold orange cloth from bottom to top,search,,80,,search_boards
unfold the cloth from left to right,unfold the cloth from left to right,original,,80,,search_boards
unfold the cloth from left to right,open up the yellow cloth from left to right,search,,80,,search_boards
unfold the cloth from left to right,open the yellow cloth from left to right,search,,80,,search_boards
unfold the cloth from left to right,open up the yellow cloth to the right,search,,80,,search_boards
unfold the cloth from left to right,open up the cloth from left to right,search,,80,,search_boards
unfold the cloth from left to right,unfold the yellow cloth from left to right,search,,80,,search_boards
unfold the cloth from left to right,unfold the yellow towel to the right,search,,80,,search_boards
unfold the cloth from right to left,unfold the cloth from right to left,original,,80,,search_boards
unfold the cloth from right to left,spread out the orange cloth to the left,search,,80,,search_boards
unfold the cloth from right to left,spread the orange cloth leftward,search,,80,,search_boards
unfold the cloth from right to left,spread the orange cloth to the left,search,,80,,search_boards
unfold the cloth from right to left,spread the orange rag to the left,search,,80,,search_boards
unfold the cloth from right to left,spread the orange cloth from right to left,search,,80,,search_boards
unfold the cloth from right to left,unfold the orange rag,search,,80,,search_boards
unfold the cloth from right to left,unfold the orange cloth to the left,search,,80,,search_boards
unfold the cloth from right to left,spread out the orange cloth from right to left,search,,80,,search_boards
unfold the cloth from top left to bottom right,unfold the cloth from top left to bottom right,original,,80,,search_boards
unfold the cloth from top left to bottom right,unfold the cloth from top-left to bottom-right,search,,80,,search_boards
unfold the cloth from top left to bottom right,unfold the cloth from top left to bottom right corner,search,,80,,search_boards
unfold the cloth from top left to bottom right,unfold the cloth from top left toward bottom right,search,,80,,search_boards
unfold the cloth from top left to bottom right,unfold the cloth from the top left to the bottom right,search,,80,,search_boards
unfold the cloth from top left to bottom right,unfold the cloth diagonally from top left to bottom right,search,,80,,search_boards
unfold the cloth from top left to bottom right,unfold the blue cloth from the top left corner to the bottom right,search,,80,,search_boards
unfold the cloth from top right to bottom left,unfold the cloth from top right to bottom left,original,,80,,search_boards
unfold the cloth from top right to bottom left,unfold the blue cloth starting from the top right,search,,80,,search_boards
unfold the cloth from top right to bottom left,unfold the blue fabric starting from the top right,search,,80,,search_boards
unfold the cloth from top right to bottom left,pull open the blue cloth from top right to bottom left,search,,80,,search_boards
unfold the cloth from top right to bottom left,unfold the blue fabric from the top right corner,search,,80,,search_boards
unfold the cloth from top right to bottom left,unfold the blue cloth downwards and to the left,search,,80,,search_boards
unzip zipper bag,unzip zipper bag,original,,80,,search_boards
unzip zipper bag,pull the zipper on the black protective case,search,,80,,search_boards
unzip zipper bag,unzip the black carrying case,search,,80,,search_boards
unzip zipper bag,unzip the black protective case,search,,80,,search_boards
unzip zipper bag,unzip the small black protective case,search,,80,,search_boards
unzip zipper bag,pull open the zipper on the black bag,search,,80,,search_boards
unzip zipper bag,unzip the small black bag,search,,80,,search_boards
upright basil bottle cardboard fence,upright basil bottle cardboard fence,original,,80,,search_boards
upright basil bottle cardboard fence,stand up the red plastic bottle,search,,80,,search_boards
upright basil bottle cardboard fence,stand up the red container,search,,80,,search_boards
upright basil bottle cardboard fence,stand up the spice bottle,search,,80,,search_boards
upright basil bottle cardboard fence,stand up the red spice bottle,search,,80,,search_boards
upright basil bottle cardboard fence,stand up the red bottle,search,,80,,search_boards
upright basil bottle cardboard fence,stand upright the red bottle,search,,80,,search_boards
upright basil bottle cardboard fence,make the red bottle stand up,search,,80,,search_boards
upright basil bottle cardboard fence,stand up the red jar,search,,80,,search_boards
upright hot sauce bottle cardboard fence,upright hot sauce bottle cardboard fence,original,,80,,search_boards
upright hot sauce bottle cardboard fence,set the red sauce bottle upright,search,,80,,search_boards
upright hot sauce bottle cardboard fence,stand up the red bottle in the tray,search,,80,,search_boards
upright hot sauce bottle cardboard fence,set the red bottle standing up,search,,80,,search_boards
upright hot sauce bottle cardboard fence,place the red bottle standing up in the tray,search,,80,,search_boards
upright hot sauce bottle cardboard fence,set the red sauce bottle standing up,search,,80,,search_boards
upright hot sauce bottle cardboard fence,place the red bottle standing up,search,,80,,search_boards
upright hot sauce bottle cardboard fence,pick up and place the hot sauce bottle upright,search,,80,,search_boards
upright hot sauce bottle cardboard fence,stand up the red sauce bottle inside the box,search,,80,,search_boards
wipe pot with sponge,[dry-run:gemini] 68cab6bad521,search,0.6243685913123146,80,,loop_gemini
wipe pot with sponge,[dry-run:gemini] a37748b5edd5,search,0.900518987315776,80,,loop_gemini
wipe pot with sponge,use the yellow sponge to wipe off the pot,search,,80,,search_boards
wipe pot with sponge,use the yellow sponge to wipe down the pot,search,,80,,search_boards
wipe pot with sponge,use the yellow sponge to clean off the pot,search,,80,,search_boards
wipe pot with sponge,wipe pot with sponge,original,,80,,search_boards
wipe pot with sponge,use the yellow sponge to wipe the pot,search,,80,,search_boards
wipe pot with sponge,use the yellow sponge to clean the pot,search,,80,,search_boards
wipe pot with sponge,use the sponge to wipe the pot,search,,80,,search_boards
wipe pot with sponge,clean the pot with the yellow sponge,search,,80,,search_boards
zip zipper bag,zip zipper bag,original,,80,,search_boards
zip zipper bag,zip the black pouch closed,search,,80,,search_boards
zip zipper bag,zip the round black pouch,search,,80,,search_boards
zip zipper bag,zip up the round black pouch,search,,80,,search_boards
zip zipper bag,zip up the black pouch,search,,80,,search_boards
zip zipper bag,close the zipper on the black bag,search,,80,,search_boards
zip zipper bag,zip up the black case,search,,80,,search_boards
